"令和６年３月分（４月納付分）からの健康保険・厚生年金保険の保険料額表",,,,,,,,,,
,,,,,,,,,,
,"・健康保険料率：令和6年3月分～　適用　　 　・厚生年金保険料率：平成29年9月分～　適用",,,,,,,,,
,"・介護保険料率：令和6年3月分～　適用 　　  ・子ども・子育て拠出金率：令和2年4月分～　適用",,,,,,,,,
,,,,,,,,,,
"（奈良県）",,,,,,,,,,"（単位：円）"
"標  準  報  酬",,"報  酬  月  額",,,"全国健康保険協会管掌健康保険料",,,,"厚生年金保険料（厚生年金基金加入員を除く）",
,,,,,"介護保険第２号被保険者
に該当しない場合",,"介護保険第２号被保険者
に該当する場合",,"一般、坑内員・船員",
"等級","月  額",,,,0.10220000000000001,,0.11820000000000001,,0.183,
,,,,,"全  額","折半額","全  額","折半額","全  額","折半額"
,,"円以上",,"円未満",,,,,,
1,58000,,"～",63000,5927.6,2963.8,6855.6,3427.8,,
2,68000,63000,"～",73000,6949.600000000001,3474.8000000000006,8037.600000000001,4018.8000000000006,,
3,78000,73000,"～",83000,7971.600000000001,3985.8000000000006,9219.6,4609.8,,
"4（1）",88000,83000,"～",93000,8993.6,4496.8,10401.6,5200.8,16104,8052
"5（2）",98000,93000,"～",101000,10015.600000000002,5007.800000000001,11583.600000000002,5791.800000000001,17934,8967
"6（3）",104000,101000,"～",107000,10628.800000000001,5314.400000000001,12292.800000000001,6146.400000000001,19032,9516
"7（4）",110000,107000,"～",114000,11242.000000000002,5621.000000000001,13002.000000000002,6501.000000000001,20130,10065
"8（5）",118000,114000,"～",122000,12059.600000000002,6029.800000000001,13947.600000000002,6973.800000000001,21594,10797
"9（6）",126000,122000,"～",130000,12877.200000000003,6438.600000000001,14893.200000000003,7446.600000000001,23058,11529
"10（7）",134000,130000,"～",138000,13694.800000000001,6847.400000000001,15838.800000000001,7919.400000000001,24522,12261
"11（8）",142000,138000,"～",146000,14512.400000000001,7256.200000000001,16784.4,8392.2,25986,12993
"12（9）",150000,146000,"～",155000,15330.000000000002,7665.000000000001,17730.000000000004,8865.000000000002,27450,13725
"13（10）",160000,155000,"～",165000,16352.000000000002,8176.000000000001,18912.000000000004,9456.000000000002,29280,14640
"14（11）",170000,165000,"～",175000,17374.000000000004,8687.000000000002,20094.000000000004,10047.000000000002,31110,15555
"15（12）",180000,175000,"～",185000,18396.000000000004,9198.000000000002,21276.000000000004,10638.000000000002,32940,16470
"16（13）",190000,185000,"～",195000,19418.000000000004,9709.000000000002,22458.000000000004,11229.000000000002,34770,17385
"17（14）",200000,195000,"～",210000,20440.000000000004,10220.000000000002,23640.000000000004,11820.000000000002,36600,18300
"18（15）",220000,210000,"～",230000,22484.000000000004,11242.000000000002,26004.000000000004,13002.000000000002,40260,20130
"19（16）",240000,230000,"～",250000,24528.000000000004,12264.000000000002,28368.000000000004,14184.000000000002,43920,21960
"20（17）",260000,250000,"～",270000,26572.000000000004,13286.000000000002,30732.000000000004,15366.000000000002,47580,23790
"21（18）",280000,270000,"～",290000,28616.000000000004,14308.000000000002,33096.00000000001,16548.000000000004,51240,25620
"22（19）",300000,290000,"～",310000,30660.000000000004,15330.000000000002,35460.00000000001,17730.000000000004,54900,27450
"23（20）",320000,310000,"～",330000,32704.000000000004,16352.000000000002,37824.00000000001,18912.000000000004,58560,29280
"24（21）",340000,330000,"～",350000,34748.00000000001,17374.000000000004,40188.00000000001,20094.000000000004,62220,31110
"25（22）",360000,350000,"～",370000,36792.00000000001,18396.000000000004,42552.00000000001,21276.000000000004,65880,32940
"26（23）",380000,370000,"～",395000,38836.00000000001,19418.000000000004,44916.00000000001,22458.000000000004,69540,34770
"27（24）",410000,395000,"～",425000,41902.00000000001,20951.000000000004,48462.00000000001,24231.000000000004,75030,37515
"28（25）",440000,425000,"～",455000,44968.00000000001,22484.000000000004,52008.00000000001,26004.000000000004,80520,40260
"29（26）",470000,455000,"～",485000,48034.00000000001,24017.000000000004,55554.00000000001,27777.000000000004,86010,43005
"30（27）",500000,485000,"～",515000,51100.00000000001,25550.000000000004,59100.00000000001,29550.000000000004,91500,45750
"31（28）",530000,515000,"～",545000,54166.00000000001,27083.000000000004,62646.00000000001,31323.000000000004,96990,48495
"32（29）",560000,545000,"～",575000,57232.00000000001,28616.000000000004,66192.00000000001,33096.00000000001,102480,51240
"33（30）",590000,575000,"～",605000,60298.00000000001,30149.000000000004,69738.00000000001,34869.00000000001,107970,53985
"34（31）",620000,605000,"～",635000,63364.00000000001,31682.000000000004,73284.00000000001,36642.00000000001,113460,56730
"35（32）",650000,635000,"～",665000,66430.00000000001,33215.00000000001,76830.00000000001,38415.00000000001,118950,59475
36,680000,665000,"～",695000,69496.00000000001,34748.00000000001,80376.00000000001,40188.00000000001,,
37,710000,695000,"～",730000,72562.00000000001,36281.00000000001,83922.00000000001,41961.00000000001,"※厚生年金基金に加入している方の",
38,750000,730000,"～",770000,76650.00000000001,38325.00000000001,88650.00000000001,44325.00000000001,"　 厚生年金保険料率は、基金ごとに",
39,790000,770000,"～",810000,80738.00000000001,40369.00000000001,93378.00000000001,46689.00000000001,"　 定められている免除保険料率",
40,830000,810000,"～",855000,84826.00000000001,42413.00000000001,98106.00000000001,49053.00000000001,"   （2.4％～5.0％）を控除した率となり",
41,880000,855000,"～",905000,89936.00000000001,44968.00000000001,104016.00000000001,52008.00000000001,"   ます。",
42,930000,905000,"～",955000,95046.00000000001,47523.00000000001,109926.00000000001,54963.00000000001,,
43,980000,955000,"～",1005000,100156.00000000001,50078.00000000001,115836.00000000001,57918.00000000001,"　 加入する基金ごとに異なりますの",
44,1030000,1005000,"～",1055000,105266.00000000001,52633.00000000001,121746.00000000001,60873.00000000001,"　 で、免除保険料率および厚生年金",
45,1090000,1055000,"～",1115000,111398.00000000001,55699.00000000001,128838.00000000001,64419.00000000001,"　 基金の掛金については、加入する",
46,1150000,1115000,"～",1175000,117530.00000000001,58765.00000000001,135930.00000000003,67965.00000000001,"　 厚生年金基金にお問い合わせ",
47,1210000,1175000,"～",1235000,123662.00000000001,61831.00000000001,143022.00000000003,71511.00000000001,"　 ください。",
48,1270000,1235000,"～",1295000,129794.00000000001,64897.00000000001,150114.00000000003,75057.00000000001,,
49,1330000,1295000,"～",1355000,135926.00000000003,67963.00000000001,157206.00000000003,78603.00000000001,,
50,1390000,1355000,"～",,142058.00000000003,71029.00000000001,164298.00000000003,82149.00000000001,,
,,,,,,,,,,
"◆介護保険第２号被保険者は、40歳から64歳までの方であり、健康保険料率（10.22%）に介護保険料率（1.60%）が加わります。",,,,,,,,,,
"◆等級欄の（　）内の数字は、厚生年金保険の標準報酬月額等級です。",,,,,,,,,,
"　4（1）等級の「報酬月額」欄は、厚生年金保険の場合「93,000円未満」と読み替えてください。",,,,,,,,,,
"　35（32）等級の「報酬月額」欄は、厚生年金保険の場合「635,000円以上」と読み替えてください。",,,,,,,,,,
"◆令和6年度における全国健康保険協会の任意継続被保険者について、標準報酬月額の上限は、300,000円です。",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"  ○被保険者負担分（表の折半額の欄）に円未満の端数がある場合",,,,,,,,,,
"　  ①事業主が、給与から被保険者負担分を控除する場合、被保険者負担分の端数が50銭以下の場合は切り捨て、50銭を超える場合は切り上げて1円となります。",,,,,,,,,,
"　  ②被保険者が、被保険者負担分を事業主へ現金で支払う場合、被保険者負担分の端数が50銭未満の場合は切り捨て、50銭以上の場合は切り上げて1円となります。",,,,,,,,,,
"　  （注）①、②にかかわらず、事業主と被保険者間で特約がある場合には、特約に基づき端数処理をすることができます。",,,,,,,,,,
,,,,,,,,,,
"  ○納入告知書の保険料額",,,,,,,,,,
"  　納入告知書の保険料額は、被保険者個々の保険料額を合算した金額になります。ただし、合算した金額に円未満の端数がある場合は、その端数を切り捨てた額となります。",,,,,,,,,,
,,,,,,,,,,
"  ○賞与にかかる保険料額",,,,,,,,,,
"  　賞与に係る保険料額は、賞与額から1,000円未満の端数を切り捨てた額（標準賞与額)に、保険料率を乗じた額となります。",,,,,,,,,,
"  　また、標準賞与額の上限は、健康保険は年間573万円（毎年4月1日から翌年3月31日までの累計額。）となり、厚生年金保険と子ども・子育て拠出金の場合は",,,,,,,,,,
"　　月間150万円となります。　",,,,,,,,,,
,,,,,,,,,,
"　○子ども・子育て拠出金",,,,,,,,,,
"　　事業主の方は、児童手当の支給に要する費用等の一部として、子ども・子育て拠出金を負担いただくことになります。（被保険者の負担はありません。）",,,,,,,,,,
"　　この子ども・子育て拠出金の額は、被保険者個々の厚生年金保険の標準報酬月額および標準賞与額に、拠出金率（0.36％）を乗じて得た額の総額となります。",,,,,,,,,,
